127.0.0.1, 2014-02-17 21:41:06, POST, /admin/check_version, HTTP/1.1, 200, 1.305000
127.0.0.1, 2014-02-17 21:41:12, GET, /admin/twitter, HTTP/1.1, 200, 6.526000
127.0.0.1, 2014-02-17 21:41:41, GET, /admin/design/booking, HTTP/1.1, 200, 0.712000
127.0.0.1, 2014-02-17 21:41:41, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-02-17 21:41:41, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-02-17 21:41:41, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2014-02-17 21:41:41, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-02-17 21:41:41, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-02-17 21:42:16, GET, /admin/peek/booking/models/db_tables.py, HTTP/1.1, 200, 0.114000
127.0.0.1, 2014-02-17 21:42:20, GET, /admin/edit/booking/models/db_tables.py, HTTP/1.1, 200, 0.095000
127.0.0.1, 2014-02-17 21:42:20, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-02-17 21:42:20, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-02-17 21:42:20, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.114000
127.0.0.1, 2014-02-17 21:42:20, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-02-17 21:42:20, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.010000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.018000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-02-17 21:42:21, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-02-17 21:42:26, GET, /admin/peek/booking/models/db_tables.py, HTTP/1.1, 200, 0.142000
127.0.0.1, 2014-02-17 21:42:28, GET, /admin/design/booking, HTTP/1.1, 200, 0.257000
127.0.0.1, 2014-02-17 21:42:38, GET, /admin/edit/booking/models/db_tables.py, HTTP/1.1, 200, 0.081000
127.0.0.1, 2014-02-17 21:42:42, GET, /admin/design/booking, HTTP/1.1, 200, 0.253000
127.0.0.1, 2014-02-17 21:42:50, GET, /admin/peek/booking/controllers/clients.py, HTTP/1.1, 200, 0.072000
127.0.0.1, 2014-02-17 21:42:52, GET, /admin/design/booking, HTTP/1.1, 200, 0.268000
127.0.0.1, 2014-02-17 21:42:54, GET, /admin/edit/booking/controllers/clients.py, HTTP/1.1, 200, 0.077000
127.0.0.1, 2014-02-17 21:42:59, GET, /admin/design/booking, HTTP/1.1, 200, 0.252000
127.0.0.1, 2014-02-17 21:43:06, GET, /admin/site, HTTP/1.1, 200, 0.084000
127.0.0.1, 2014-02-17 21:43:10, GET, /admin/twitter, HTTP/1.1, 200, 3.356000
127.0.0.1, 2014-02-17 21:43:17, GET, /admin/cleanup/admin, HTTP/1.1, 500, 0.891000
127.0.0.1, 2014-02-17 21:43:19, GET, /admin/site, HTTP/1.1, 200, 0.102000
127.0.0.1, 2014-02-17 21:43:23, GET, /admin/design/booking, HTTP/1.1, 200, 0.272000
127.0.0.1, 2014-02-17 21:43:25, GET, /admin/twitter, HTTP/1.1, 200, 5.870000
127.0.0.1, 2014-02-17 21:43:30, GET, /admin/peek/booking/models/db_tables.py, HTTP/1.1, 200, 0.108000
127.0.0.1, 2014-02-18 00:10:42, GET, /admin, HTTP/1.1, 200, 0.638000
127.0.0.1, 2014-02-18 00:10:42, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2014-02-18 00:10:42, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-02-18 00:10:42, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2014-02-18 00:10:42, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2014-02-18 00:10:42, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2014-02-18 00:10:42, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.127000
127.0.0.1, 2014-02-18 00:10:46, POST, /admin, HTTP/1.1, 303, 0.100000
127.0.0.1, 2014-02-18 00:10:46, GET, /admin/site, HTTP/1.1, 200, 0.100000
127.0.0.1, 2014-02-18 00:10:48, POST, /admin/check_version, HTTP/1.1, 200, 1.342000
127.0.0.1, 2014-02-18 00:10:50, GET, /admin/twitter, HTTP/1.1, 200, 3.882000
127.0.0.1, 2014-02-18 00:10:55, GET, /admin/wizard, HTTP/1.1, 200, 0.287000
127.0.0.1, 2014-02-18 00:10:58, GET, /admin, HTTP/1.1, 303, 0.039000
127.0.0.1, 2014-02-18 00:10:58, GET, /admin/site, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-02-18 00:11:02, GET, /admin/twitter, HTTP/1.1, 200, 3.231000
127.0.0.1, 2014-02-18 00:12:18, GET, /boooking/appadmin/, HTTP/1.1, 404, 0.381000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/appadmin/, HTTP/1.1, 200, 0.298000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/css/fullcalendar.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/css/calendar.css, HTTP/1.1, 200, 0.059000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/js/fullcalendar.min.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/js/jquery.tablesorter.min.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/css/default.css, HTTP/1.1, 200, 0.073000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/js/calendar.js, HTTP/1.1, 200, 0.101000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/js/check_browser_close.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/js/application.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/js/jquery.js, HTTP/1.1, 200, 0.127000
127.0.0.1, 2014-02-18 00:12:26, GET, /booking/static/css/print.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-02-18 00:12:29, GET, /appadmin/select/db, HTTP/1.1, 200, 0.146000
127.0.0.1, 2014-02-18 00:12:41, GET, /appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.124000
127.0.0.1, 2014-02-18 00:13:56, POST, /appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.343000
127.0.0.1, 2014-02-18 00:15:14, POST, /appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.192000
127.0.0.1, 2014-02-18 00:16:20, POST, /appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.554000
127.0.0.1, 2014-02-18 00:17:17, POST, /appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.159000
127.0.0.1, 2014-02-18 00:17:19, GET, /appadmin, HTTP/1.1, 200, 0.126000
127.0.0.1, 2014-02-18 00:17:39, GET, /admin, HTTP/1.1, 303, 0.044000
127.0.0.1, 2014-02-18 00:17:40, GET, /admin/site, HTTP/1.1, 200, 0.920000
127.0.0.1, 2014-02-18 00:17:43, GET, /admin/twitter, HTTP/1.1, 200, 3.202000
127.0.0.1, 2014-02-18 00:17:46, GET, /, HTTP/1.1, 303, 0.079000
127.0.0.1, 2014-02-18 00:17:46, GET, /user/login, HTTP/1.1, 200, 0.158000
127.0.0.1, 2014-02-18 00:17:59, POST, /user/login, HTTP/1.1, 303, 0.090000
127.0.0.1, 2014-02-18 00:17:59, GET, /, HTTP/1.1, 200, 0.110000
127.0.0.1, 2014-02-18 00:18:00, GET, /booking/static/css/images/img6.gif, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-02-18 00:18:05, GET, /reports, HTTP/1.1, 200, 0.232000
127.0.0.1, 2014-02-18 00:18:07, GET, /reports/total_clients, HTTP/1.1, 200, 0.134000
127.0.0.1, 2014-02-18 00:18:48, POST, /reports/total_clients, HTTP/1.1, 200, 0.104000
127.0.0.1, 2014-02-18 00:18:55, POST, /reports/total_clients, HTTP/1.1, 200, 0.135000
127.0.0.1, 2014-02-18 00:18:55, GET, /booking/static/css/images/bg.gif, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-02-18 00:20:30, POST, /reports/total_clients, HTTP/1.1, 200, 0.415000
127.0.0.1, 2014-02-18 00:34:38, GET, /booking/appadmin, HTTP/1.1, 200, 0.134000
127.0.0.1, 2014-02-18 00:34:57, GET, /admin, HTTP/1.1, 303, 0.045000
127.0.0.1, 2014-02-18 00:34:57, GET, /admin/site, HTTP/1.1, 200, 0.063000
127.0.0.1, 2014-02-18 00:35:01, GET, /admin/twitter, HTTP/1.1, 200, 3.163000
127.0.0.1, 2014-02-18 00:35:03, GET, /admin/design/booking, HTTP/1.1, 200, 0.744000
127.0.0.1, 2014-02-18 00:35:03, GET, /admin/edit/booking/models/db_init.py, HTTP/1.1, 200, 0.110000
127.0.0.1, 2014-02-18 00:35:04, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2014-02-18 00:35:04, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-02-18 00:35:04, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.075000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.005000
